Chromosome	Start.bp	End.bp	n_probes	length	n_hets	f	tau	sigma.tau	mu.minor	sigma.minor	mu.major	sigma.major	SegLabelCNLOH	V15	NB	NA_CCF	NB_CCF	purity	ploidy	gender	CCN	IS_SCNA	cn_minor	cn_major	cn_sigma.minor	cn_sigma.major	cn_clusterA	cn_minor_cluster	cn_minor_sigma_cluster	cn_clusterB	cn_major_cluster	cn_major_sigma_cluster	cn_ploidy	DeltaCR	averageCR	zeroCR
1	722500	28347500	5025	27625000	1696	0.5	2.019228	0.025078	1.009614	0.025375	1.009614	0.025375	2	0	0	0	0	0.49	2.05	F	2	0	1.03297	1.03297	0.052125	0.052125	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
1	28352500	28387500	8	35000	3	0	2.030102	0.055715	0	0.288752	2.030102	0.288752	1		3		1	0.49	2.05	F	2	1	-1.040672	3.128946	0.593148	0.593148	1	-1.033003	0.145554	1	3.237268	0.207107	2.050284	0.486812	1.005664	0.506682
1	28392500	120557500	15778	92165000	6091	0.499999	2.00682	0.025025	1.003408	0.025035	1.003412	0.025035	2	0	0	0	0	0.49	2.05	F	2	0	1.020223	1.020232	0.051427	0.051427	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
1	120562500	121487500	62	925000	14	3.678033e-18	2.022003	0.030698	7.436993e-18	0.029477	2.022003	0.029477	1		4		0.7457561	0.49	2.05	F	2	1	-1.040672	3.112311	0.060551	0.060551	1	-1.033003	0.145554	1	3.237268	0.207107	2.050284	0.486812	1.005664	0.506682
1	144012500	148862500	367	4850000	60	0.4231039	2.487226	0.026569	1.052355	0.13796	1.434871	0.13796	2	0	0	0	0	0.49	2.05	F	2	0	1.120756	1.906404	0.283394	0.283394	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
1	148872500	149032500	20	160000	1	0.1529291	2.217427	0.042505	0.3391092	0.320551	1.878318	0.320551	2	0	3	0	1	0.49	2.05	F	2	1	-0.344177	2.817197	0.658469	0.658469	4	0.998441	0.114312	1	3.237268	0.207107	2.050284	0.486812	1.005664	0.506682
1	149212500	247247500	16814	98035000	7429	0.415123	2.543737	0.025037	1.055964	0.027971	1.487773	0.027971	2	0	0	0	0	0.49	2.05	F	2	0	1.128167	2.015058	0.057457	0.057457	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
2	27500	89837500	15296	89810000	7199	0.5	2.002376	0.025025	1.001188	0.025027	1.001188	0.025027	2	0	0	0	0	0.49	2.05	F	2	0	1.015663	1.015663	0.051409	0.051409	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
2	89847500	91867500	60	2020000	20	0.3278889	2.522065	0.033671	0.826957	0.104093	1.695108	0.104093	2	0	0	0	0	0.49	2.05	F	2	0	0.657811	2.440903	0.213825	0.213825	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
2	91877500	242942500	24438	151065000	10164	0.4999989	2.002047	0.025016	1.001021	0.025011	1.001026	0.025011	2	0	0	0	0	0.49	2.05	F	2	0	1.015322	1.015331	0.051377	0.051377	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
3	77500	197857500	32778	197780000	14018	0.5	2.009309	0.025012	1.004654	0.025005	1.004654	0.025005	2	0	0	0	0	0.49	2.05	F	2	0	1.022784	1.022784	0.051366	0.051366	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
4	27500	32447500	5350	32420000	2476	0.5	1.997028	0.025072	0.9985142	0.025135	0.998514	0.025135	2	0	0	0	0	0.49	2.05	F	2	0	1.010172	1.010172	0.051632	0.051632	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
4	32477500	32492500	3	15000	3	0.04134349	2.14531	0.089454	0.08869461	0.120127	2.056615	0.120127	2		3		1	0.49	2.05	F	2	1	-0.858503	3.183401	0.246763	0.246763	1	-1.033003	0.145554	1	3.237268	0.207107	2.050284	0.486812	1.005664	0.506682
4	32497500	49087500	2593	16590000	1035	0.5	1.995944	0.025147	0.9979719	0.025606	0.997972	0.025606	2	0	0	0	0	0.49	2.05	F	2	0	1.009058	1.009058	0.0526	0.0526	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
4	49167500	152077500	14843	102910000	7662	0.5	1.994616	0.025026	0.997308	0.025033	0.997308	0.025033	2	0	0	0	0	0.49	2.05	F	2	0	1.007695	1.007695	0.051423	0.051423	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
4	152087500	152197500	21	110000	9	0.2483922	1.942798	0.038607	0.4825759	0.236782	1.460222	0.236782	1	0	0	0	0	0.49	2.05	F	2	0	-0.049512	1.958472	0.486394	0.486394	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
4	152202500	191042500	5968	38840000	3312	0.5	2.00118	0.025065	1.00059	0.025083	1.00059	0.025083	2	0	0	0	0	0.49	2.05	F	2	0	1.014436	1.014436	0.051524	0.051524	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
5	22500	78157500	11915	78135000	5869	0.4999991	1.999048	0.025032	0.9995223	0.025036	0.999526	0.025036	2	0	0	0	0	0.49	2.05	F	2	0	1.012243	1.01225	0.051429	0.051429	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
5	78177500	78247500	13	70000	10	0.5	2.92233	0.061422	1.461165	0.161975	1.461165	0.161975	2	2	0	1	0	0.49	2.05	F	2	1	1.960409	1.960409	0.332725	0.332725	2	1.911789	0.108981	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
5	78257500	128242500	7694	49985000	3729	0.4999986	1.998151	0.02505	0.9990727	0.025097	0.999078	0.025097	2	0	0	0	0	0.49	2.05	F	2	0	1.011319	1.011331	0.051553	0.051553	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
5	128252500	128592500	53	340000	68	0.3794568	1.983498	0.031342	0.752652	0.108942	1.230846	0.108942	0	0	0	0	0	0.49	2.05	F	2	0	0.505197	1.487358	0.223787	0.223787	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
5	128597500	180712500	9191	52115000	3204	0.4999926	1.998603	0.025042	0.9992865	0.025098	0.999316	0.025098	2	0	0	0	0	0.49	2.05	F	2	0	1.011758	1.011819	0.051556	0.051556	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
6	212500	29717500	5371	29505000	2112	0.5	2.004474	0.025072	1.002237	0.025142	1.002237	0.025142	2	0	0	0	0	0.49	2.05	F	2	0	1.017818	1.017818	0.051646	0.051646	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
6	29722500	29892500	32	170000	84	0.4382094	1.988549	0.034926	0.871401	0.11176	1.117148	0.11176	1	0	0	0	0	0.49	2.05	F	2	0	0.749095	1.253834	0.229575	0.229575	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
6	29907500	29922500	4	15000	19	0.2201167	1.912486	0.070917	0.4209701	0.113087	1.491515	0.113087	2	0	0	0	0	0.49	2.05	F	2	0	-0.176043	2.022745	0.232302	0.232302	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
6	29927500	31057500	221	1130000	191	0.5	2.009723	0.026701	1.004862	0.029548	1.004862	0.029548	2	0	0	0	0	0.49	2.05	F	2	0	1.023209	1.023209	0.060697	0.060697	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
6	31062500	31072500	3	10000	11	0.2163124	1.880843	0.07941	0.4068495	0.0999	1.473993	0.0999	2	0	0	0	0	0.49	2.05	F	2	0	-0.205046	1.986756	0.205213	0.205213	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
6	31077500	31272500	36	195000	94	0.4516152	2.024507	0.034248	0.9142982	0.105536	1.110209	0.105536	2	0	0	0	0	0.49	2.05	F	2	0	0.837201	1.239581	0.21679	0.21679	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
6	31287500	31302500	3	15000	20	0.02666433	1.960413	0.08242	0.0522731	0.051958	1.90814	0.051958	1		4		0.7457561	0.49	2.05	F	2	1	-0.933309	2.878448	0.106732	0.106732	1	-1.033003	0.145554	1	3.237268	0.207107	2.050284	0.486812	1.005664	0.506682
6	31307500	32422500	191	1115000	175	0.4999999	2.006497	0.026953	1.003248	0.034474	1.003249	0.034474	2	0	0	0	0	0.49	2.05	F	2	0	1.019895	1.019896	0.070816	0.070816	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
